run_id,method,seed,region,n_points,config_id,depth,hidden,activation,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,quick,cache,n_train,grid_points
20260908T173918Z,gp,0,in_range,300,reference,,,,0.09308101209412574,0.9444410856402923,0.9666666666666667,0.40725709161423734,0.10265921587176184,0.038181818181818185,0.038181818181818185,3,0.828,False,False,250,500
20260908T173918Z,gp,0,extrapolation,200,reference,,,,0.12921079311381284,0.37189596223453053,1.0,1.090295405137412,0.10265921587176186,0.18954545454545454,0.18954545454545454,3,0.828,False,False,250,500
20260908T173918Z,gp,0,overall,500,reference,,,,0.10897989039414696,0.7154230362779874,0.98,0.6804724170235072,0.10265921587176186,0.09872727272727272,0.09872727272727272,3,0.828,False,False,250,500
20260908T173918Z,map,0,in_range,300,d1_h50_tanh,1,50,tanh,0.09550561886857725,0.923183343903242,0.96,0.4065748356099469,0.10371997618756196,0.024545454545454558,0.023333333333333338,152,12.329,False,False,250,500
20260908T173918Z,map,0,extrapolation,200,d1_h50_tanh,1,50,tanh,0.41436937092521064,-6.633201169982853,0.575,0.40657483560994684,0.10371997618756196,0.2645454545454546,-0.2645454545454546,152,12.329,False,False,250,500
20260908T173918Z,map,0,overall,500,d1_h50_tanh,1,50,tanh,0.2723115571650676,-2.099370461651196,0.806,0.40657483560994684,0.10371997618756196,0.0918181818181818,-0.0918181818181818,152,12.329,False,False,250,500
20260908T173918Z,mcd,0,in_range,300,d1_h50_tanh,1,50,tanh,0.16317980422669706,0.25810767469819246,1.0,0.9943671867345406,0.21253883155431924,0.12242424242424242,0.12242424242424242,152,13.605,False,False,250,500
20260908T173918Z,mcd,0,extrapolation,200,d1_h50_tanh,1,50,tanh,0.7584118282101912,-3.326146317598659,0.17,1.0936570668524943,0.21253883155431924,0.5095454545454545,-0.5095454545454545,152,13.605,False,False,250,500
20260908T173918Z,mcd,0,overall,500,d1_h50_tanh,1,50,tanh,0.49603627848387033,-1.1755939222205485,0.668,1.034083138781722,0.21253883155431924,0.13036363636363635,-0.13036363636363635,152,13.605,False,False,250,500
20260908T173918Z,ensemble,0,in_range,300,d1_h50_tanh,1,50,tanh,0.09345006341618663,0.9330044747802595,0.9666666666666667,0.4184024693267666,0.1044451480636298,0.04424242424242425,0.04424242424242425,760,62.113,False,False,250,500
