run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,variant,n_train,grid_points,noise_sigma,epochs,z,cal_levels,torch_threads,quick,cache
20260905T005453Z,gp,0,overall,500,0.10897989039414696,0.7154230362779874,0.98,0.6804724170235072,0.10265921587176186,0.09872727272727272,0.09872727272727272,3,0.895,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,map,1,in_range,300,0.1074114994103116,0.7828634469446435,0.9066666666666666,0.35810950817035464,0.09135614506059214,0.049999999999999996,-0.049999999999999996,152,12.741,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,map,1,extrapolation,200,0.40425679813345605,-8.3165449638336,0.47,0.35810950817035464,0.09135614506059216,0.3245454545454546,-0.3245454545454546,152,12.741,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,map,1,overall,500,0.2688712733971191,-2.8568999173666545,0.732,0.35810950817035464,0.09135614506059214,0.1598181818181818,-0.1598181818181818,152,12.741,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,mcd,1,in_range,300,0.1536027892724586,0.30727512050459327,1.0,0.953597468305915,0.20417596819672318,0.13454545454545455,0.13454545454545455,152,15.381,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,mcd,1,extrapolation,200,0.7751296821809558,-3.6887300683393454,0.145,1.061635955907639,0.20417596819672312,0.5186363636363636,-0.5186363636363636,152,15.381,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,mcd,1,overall,500,0.5044667479651631,-1.2911269550329822,0.658,0.9968128633466045,0.20417596819672315,0.12672727272727274,-0.12672727272727274,152,15.381,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,ensemble,1,in_range,300,0.10566724087116863,0.8063174230707794,0.92,0.35936769943127916,0.09139266684326028,0.03969696969696968,-0.03969696969696968,760,73.558,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,ensemble,1,extrapolation,200,0.3442187101628165,-3.6897145270974,0.555,0.3890707127294688,0.09139266684326028,0.25772727272727275,-0.25772727272727275,760,73.558,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,ensemble,1,overall,500,0.23258105607821242,-0.9920953569964921,0.774,0.37124890475055505,0.09139266684326028,0.1269090909090909,-0.1269090909090909,760,73.558,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,bbb,1,in_range,300,0.10624300644456103,0.8135308943768073,0.93,0.3785547427424756,0.09567741204304926,0.024242424242424242,-0.021212121212121213,303,29.842,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,bbb,1,extrapolation,200,0.16593569578478978,-0.032782870986875864,0.765,0.3829408619396622,0.09567741204304926,0.1827272727272727,-0.1827272727272727,303,29.842,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,bbb,1,overall,500,0.13336569238473717,0.4750053882313339,0.864,0.3803091904213503,0.09567741204304928,0.08581818181818181,-0.08581818181818181,303,29.842,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,laplace,1,in_range,300,0.1074114994103116,0.7879717088746594,0.9166666666666666,0.36333905057174,0.09135614506059214,0.04575757575757577,-0.04575757575757577,152,12.792,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,laplace,1,extrapolation,200,0.40425679813345605,-0.23689775012258651,0.835,0.836422249053864,0.09135614506059216,0.155,-0.155,152,12.792,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,laplace,1,overall,500,0.2688712733971191,0.378023925275761,0.884,0.5525723299645896,0.09135614506059214,0.08945454545454544,-0.08945454545454544,152,12.792,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,gp,1,in_range,300,0.10613038724916544,0.7995805268302604,0.91,0.35846654824539304,0.09030562321091877,0.04393939393939393,-0.04393939393939393,3,0.987,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,gp,1,extrapolation,200,0.221699618480426,0.15566124248071586,0.975,1.0709607766446245,0.09030562321091877,0.04636363636363638,0.04545454545454546,3,0.987,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,gp,1,overall,500,0.16253763807912697,0.5420128130904426,0.936,0.6434642396050856,0.09030562321091877,0.009999999999999998,-0.008181818181818179,3,0.987,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,map,2,in_range,300,0.10440951159316465,0.8402992456669064,0.94,0.4036037491364257,0.1029620320373233,0.01575757575757577,0.0036363636363636294,152,13.03,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,map,2,extrapolation,200,0.38819887547446247,-5.753165833903952,0.555,0.4036037491364259,0.1029620320373233,0.25272727272727274,-0.25272727272727274,152,13.03,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,map,2,overall,500,0.25849594665009507,-1.7970867861614366,0.786,0.4036037491364259,0.1029620320373233,0.09890909090909092,-0.09890909090909092,152,13.03,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,mcd,2,in_range,300,0.16910584366931122,0.20941248323682926,0.9966666666666667,1.0538084940706751,0.22741356237203736,0.14303030303030304,0.14303030303030304,152,15.677,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,mcd,2,extrapolation,200,0.8883392789787827,-4.286075297318881,0.11,1.1505172245643343,0.22741356237203736,0.5331818181818182,-0.5331818181818182,152,15.677,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,mcd,2,overall,500,0.5769027141975354,-1.588782628985455,0.642,1.0924919862681388,0.22741356237203733,0.12745454545454546,-0.12745454545454546,152,15.677,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,ensemble,2,in_range,300,0.10302202244634127,0.8538292983648574,0.95,0.4080287498705361,0.10384915146215519,0.011212121212121217,0.009999999999999997,760,68.088,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
20260905T005453Z,ensemble,2,extrapolation,200,0.36885418205839005,-4.099059343258191,0.625,0.4296789026460604,0.10384915146215518,0.21045454545454542,-0.21045454545454542,760,68.088,,250,500,0.1,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,False
