run_id,method,dataset,split,seed,n_train,n_test,d,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,variant,epochs,z,cal_levels,torch_threads,quick,cache
20260905T030246Z,map,yacht,0,0,277,31,6,0.6530324451851001,-1.0464496264846264,0.9032258064516129,2.064575673134031,0.5266871456361293,0.06052785923753665,0.030381231671554255,402,0.006,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,mcd,yacht,0,0,277,31,6,1.9865675296783427,-2.357100196952728,0.9354838709677419,13.492380725708932,2.678012943409651,0.18727272727272723,0.15941348973607036,402,23.96,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,ensemble,yacht,0,0,277,31,6,0.4171551350159616,-0.5520174547970682,0.967741935483871,2.2671967052141455,0.3956185592453386,0.21331378299120238,0.20926686217008797,2010,87.211,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,bbb,yacht,0,0,277,31,6,0.5776973929869269,-1.0219416997948427,0.8709677419354839,1.605661929721392,0.4047356878030097,0.23354838709677422,-0.23354838709677422,803,46.322,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,laplace,yacht,0,0,277,31,6,0.6530324451851001,-0.894137106414838,0.967741935483871,2.286810487963931,0.5266871456361293,0.07020527859237537,0.06557184750733139,402,0.608,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,gp,yacht,0,0,277,31,6,0.5785596426669685,-0.3373600420964474,0.9032258064516129,0.9098953680580989,0.13075201647497367,0.033548387096774206,-0.01653958944281525,3,1.398,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,map,yacht,1,1,277,31,6,0.5989672278648,-1.0623522200211963,0.8387096774193549,1.65603861703151,0.4224665937981847,0.08105571847507331,-0.07812316715542522,402,0.002,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,mcd,yacht,1,1,277,31,6,1.9734617581775993,-2.367570301330123,1.0,14.200270297096369,2.780464981547359,0.15706744868035194,0.12422287390029328,402,23.634,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,ensemble,yacht,1,1,277,31,6,0.49832469243600114,-0.5164970465577287,0.967741935483871,2.0010991828683,0.4127665098109502,0.13360703812316713,0.13302052785923754,2010,106.549,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
20260905T030246Z,bbb,yacht,1,1,277,31,6,0.6134812468872909,-1.2413618839876108,0.8064516129032258,1.502161581594137,0.37782361814800486,0.20129032258064516,-0.20129032258064516,803,40.499,,4000,1.959963984540054,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|0.95|0.99,1,False,True
