run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,n_parameters,fit_seconds,n_train,grid_points,noise_sigma,z,torch_threads,quick,cache
20260904T210105Z,map,0,in_range,300,0.10226203626404683,0.8598569223470169,0.9533333333333334,0.41646065199523624,0.10624191446379234,152,6.634,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,0,extrapolation,200,0.4147781718232354,-6.297867790943509,0.56,0.4164606519952362,0.10624191446379234,152,6.634,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,0,overall,500,0.27402716501276236,-2.003232962969194,0.796,0.4164606519952363,0.10624191446379234,152,6.634,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,0,in_range,300,0.1587683063778997,0.2669972046340536,0.9966666666666667,0.9982699353075266,0.2130663179820824,152,7.481,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,0,extrapolation,200,0.8280842158470673,-4.027330777438581,0.135,1.095046241687295,0.21306631798208242,152,7.481,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,0,overall,500,0.5379719439525493,-1.450733988195,0.652,1.036980457859434,0.21306631798208242,152,7.481,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,0,in_range,300,0.0941649384522037,0.9295664796606422,0.97,0.41602441234763776,0.10502258755990793,760,32.976,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,0,extrapolation,200,0.36600431323886,-4.020516606969903,0.625,0.42791632992158596,0.10502258755990793,760,32.976,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,0,overall,500,0.24270122435621172,-1.050466754991576,0.832,0.42078117937721704,0.10502258755990793,760,32.976,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,0,in_range,300,0.09448162807879415,0.9264550369415472,0.9733333333333334,0.4186637052271943,0.10556692610011803,303,15.455,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,0,extrapolation,200,0.18121955328152872,-0.08899652986489076,0.755,0.4254969337803765,0.10556692610011803,303,15.455,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,0,overall,500,0.13598631336746533,0.5202744102189721,0.886,0.4213969966484672,0.10556692610011803,303,15.455,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,0,in_range,300,0.10226203626404683,0.8588350123213697,0.9533333333333334,0.42153670496238543,0.10624191446379234,152,6.719,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,0,extrapolation,200,0.4147781718232354,-0.257884352803335,0.795,0.782684971506582,0.10624191446379234,152,6.719,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,0,overall,500,0.27402716501276236,0.4121472662714878,0.89,0.5659960115800641,0.10624191446379234,152,6.719,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,0,in_range,300,0.09308101209412574,0.9444410856402923,0.9666666666666667,0.40725709161423734,0.10265921587176184,3,0.915,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,0,extrapolation,200,0.12921079311381284,0.37189596223453053,1.0,1.090295405137412,0.10265921587176186,3,0.915,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,0,overall,500,0.10897989039414696,0.7154230362779874,0.98,0.6804724170235072,0.10265921587176186,3,0.915,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,1,in_range,300,0.10589216656606623,0.806360452214671,0.91,0.3626087305984967,0.09250392697485978,152,7.427,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,1,extrapolation,200,0.3908426192462925,-7.464364726462609,0.52,0.36260873059849674,0.09250392697485979,152,7.427,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,1,overall,500,0.2604439897017289,-2.5019296192562406,0.754,0.3626087305984968,0.09250392697485979,152,7.427,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,1,in_range,300,0.15026158970288403,0.3220653500731947,1.0,0.9431284943613844,0.19795839555845135,152,7.687,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,1,extrapolation,200,0.7465230092593113,-3.3977047559204356,0.165,1.0611577919962114,0.19795839555845135,152,7.687,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,1,overall,500,0.4862774604538584,-1.1658426923242573,0.666,0.9903402134153152,0.19795839555845132,152,7.687,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,1,in_range,300,0.10658003848501743,0.7999181362272995,0.9166666666666666,0.3653164835935574,0.09229231384622501,760,36.798,250,500,0.1,1.959963984540054,1,False,False
