run_id,dataset,split,hyperparameter,value,lower_bound,upper_bound,log_value,log_lower,log_upper,log_margin_to_nearest_bound,on_bound,log_marginal_likelihood,fitted_here,convergence_warnings,variant,quick
20260905T030246Z,yacht,0,k1__k1__constant_value,8.765852488034662,9.999999999999997e-06,100000.00000000001,2.170863774115429,-11.512925464970229,11.512925464970229,9.3420616908548,False,303.5683106227175,True,0,,False
20260905T030246Z,yacht,0,k1__k2__length_scale,1.390587910555309,9.999999999999997e-06,100000.00000000001,0.32972661495543804,-11.512925464970229,11.512925464970229,11.18319885001479,False,303.5683106227175,True,0,,False
20260905T030246Z,yacht,0,k2__noise_level,7.488126363784008e-05,9.999999999999997e-06,100000.00000000001,-9.499606850431984,-11.512925464970229,11.512925464970229,2.0133186145382442,False,303.5683106227175,True,0,,False
20260905T030246Z,yacht,1,k1__k1__constant_value,10.560983646887433,9.999999999999997e-06,100000.00000000001,2.3571664223195663,-11.512925464970229,11.512925464970229,9.155759042650661,False,295.87139377593746,True,0,,False
20260905T030246Z,yacht,1,k1__k2__length_scale,1.499752158410513,9.999999999999997e-06,100000.00000000001,0.4052998667302351,-11.512925464970229,11.512925464970229,11.107625598239993,False,295.87139377593746,True,0,,False
20260905T030246Z,yacht,1,k2__noise_level,0.00011148232302204125,9.999999999999997e-06,100000.00000000001,-9.101644517551478,-11.512925464970229,11.512925464970229,2.411280947418751,False,295.87139377593746,True,0,,False
20260905T030246Z,yacht,2,k1__k1__constant_value,11.822598065712972,9.999999999999997e-06,100000.00000000001,2.4700127903387066,-11.512925464970229,11.512925464970229,9.042912674631522,False,298.9219695315378,True,0,,False
20260905T030246Z,yacht,2,k1__k2__length_scale,1.5425787173450696,9.999999999999997e-06,100000.00000000001,0.4334555078097713,-11.512925464970229,11.512925464970229,11.079469957160457,False,298.9219695315378,True,0,,False
20260905T030246Z,yacht,2,k2__noise_level,0.00011361259097117745,9.999999999999997e-06,100000.00000000001,-9.082716221805194,-11.512925464970229,11.512925464970229,2.4302092431650344,False,298.9219695315378,True,0,,False
20260905T030246Z,yacht,3,k1__k1__constant_value,10.00693909720369,9.999999999999997e-06,100000.00000000001,2.3032787620703816,-11.512925464970229,11.512925464970229,9.209646702899846,False,305.1465601162107,True,0,,False
20260905T030246Z,yacht,3,k1__k2__length_scale,1.4323642980067843,9.999999999999997e-06,100000.00000000001,0.35932643423418753,-11.512925464970229,11.512925464970229,11.153599030736041,False,305.1465601162107,True,0,,False
20260905T030246Z,yacht,3,k2__noise_level,7.619590661536847e-05,9.999999999999997e-06,100000.00000000001,-9.482202815673007,-11.512925464970229,11.512925464970229,2.0307226492972212,False,305.1465601162107,True,0,,False
20260905T030246Z,yacht,4,k1__k1__constant_value,12.406594471602956,9.999999999999997e-06,100000.00000000001,2.5182281434750307,-11.512925464970229,11.512925464970229,8.994697321495199,False,295.5750931746985,True,0,,False
20260905T030246Z,yacht,4,k1__k2__length_scale,1.5161226027260897,9.999999999999997e-06,100000.00000000001,0.41615615646078796,-11.512925464970229,11.512925464970229,11.09676930850944,False,295.5750931746985,True,0,,False
