run_id,variant,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,cal_err,cal_bias,n_parameters,fit_seconds,activation,dropout_p,hidden,depth,T,epochs,n_train,grid_points,noise_sigma,z,torch_threads,cache
20260907T230737Z,mcd_default,0,in_range,300,0.16317980422669706,0.25810767469819246,1.0,0.9943671867345406,0.21253883155431924,0.12242424242424242,0.12242424242424242,152,16.233,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,0,extrapolation,200,0.7584118282101912,-3.326146317598659,0.17,1.0936570668524943,0.21253883155431924,0.5095454545454545,-0.5095454545454545,152,16.233,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,0,overall,500,0.49603627848387033,-1.1755939222205485,0.668,1.034083138781722,0.21253883155431924,0.13036363636363635,-0.13036363636363635,152,16.233,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,0,in_range,300,0.09903143902047336,0.886128814778128,0.9666666666666667,0.4325987045942491,0.10489006041114403,0.035757575757575766,0.035757575757575766,152,16.667,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,0,extrapolation,200,0.2128982767654332,-0.07191079293899012,0.86,0.5607451170424348,0.10489006041114404,0.145,-0.145,152,16.667,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,0,overall,500,0.15496646749718418,0.5029129716912807,0.924,0.4838572695735234,0.10489006041114404,0.03654545454545454,-0.03654545454545454,152,16.667,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,0,in_range,300,0.09308101209412574,0.9444410856402923,0.9666666666666667,0.40725709161423734,0.10265921587176184,0.038181818181818185,0.038181818181818185,3,0.911,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,0,extrapolation,200,0.12921079311381284,0.37189596223453053,1.0,1.090295405137412,0.10265921587176186,0.18954545454545454,0.18954545454545454,3,0.911,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,0,overall,500,0.10897989039414696,0.7154230362779874,0.98,0.6804724170235072,0.10265921587176186,0.09872727272727272,0.09872727272727272,3,0.911,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,1,in_range,300,0.1536027892724586,0.30727512050459327,1.0,0.953597468305915,0.20417596819672318,0.13454545454545455,0.13454545454545455,152,14.21,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,1,extrapolation,200,0.7751296821809558,-3.6887300683393454,0.145,1.061635955907639,0.20417596819672312,0.5186363636363636,-0.5186363636363636,152,14.21,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,1,overall,500,0.5044667479651631,-1.2911269550329822,0.658,0.9968128633466045,0.20417596819672315,0.12672727272727274,-0.12672727272727274,152,14.21,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,1,in_range,300,0.11019231169268082,0.7711013974687737,0.9233333333333333,0.38687579911265435,0.09404123848678808,0.031212121212121215,-0.030606060606060612,152,14.922,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,1,extrapolation,200,0.22896335728949083,-0.13605198616523592,0.8,0.537638901897457,0.09404123848678808,0.1272727272727273,-0.1272727272727273,152,14.922,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_variant,1,overall,500,0.168092518947799,0.40824004401516983,0.874,0.4471810402265754,0.09404123848678808,0.06927272727272728,-0.06927272727272728,152,14.922,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,1,in_range,300,0.10613038724916544,0.7995805268302604,0.91,0.35846654824539304,0.09030562321091877,0.04393939393939393,-0.04393939393939393,3,1.153,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,1,extrapolation,200,0.221699618480426,0.15566124248071586,0.975,1.0709607766446245,0.09030562321091877,0.04636363636363638,0.04545454545454546,3,1.153,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,gp,1,overall,500,0.16253763807912697,0.5420128130904426,0.936,0.6434642396050856,0.09030562321091877,0.009999999999999998,-0.008181818181818179,3,1.153,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,2,in_range,300,0.16910584366931122,0.20941248323682926,0.9966666666666667,1.0538084940706751,0.22741356237203736,0.14303030303030304,0.14303030303030304,152,15.223,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,2,extrapolation,200,0.8883392789787827,-4.286075297318881,0.11,1.1505172245643343,0.22741356237203736,0.5331818181818182,-0.5331818181818182,152,15.223,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
20260907T230737Z,mcd_default,2,overall,500,0.5769027141975354,-1.588782628985455,0.642,1.0924919862681388,0.22741356237203733,0.12745454545454546,-0.12745454545454546,152,15.223,relu,0.005,50,1,100,4000,250,500,0.1,1.959963984540054,1,True
